id,name,image_url,is_mythic,into_items,from_items,gold_sell,gold_total,gold_base,gold_purchasable,plaintext,description
1001,Boots,https://opgg-static.akamaized.net/meta/images/lol/item/1001.png,False,"[3158, 3117, 3047, 3020, 3006, 3009, 3111]",,210,300,300,True,Slightly increases Move Speed,<mainText><stats><attention>25</attention> Move Speed</stats></mainText><br>
1004,Faerie Charm,https://opgg-static.akamaized.net/meta/images/lol/item/1004.png,False,"[3012, 3114, 4642]",,175,250,250,True,Slightly increases Mana Regen,<mainText><stats><attention>50%</attention> Base Mana Regen</stats></mainText><br>
1006,Rejuvenation Bead,https://opgg-static.akamaized.net/meta/images/lol/item/1006.png,False,[3801],,120,300,300,True,Slightly increases Health Regen,<mainText><stats><attention>100%</attention> Base Health Regen</stats></mainText><br>
1011,Giant's Belt,https://opgg-static.akamaized.net/meta/images/lol/item/1011.png,False,"[3075, 3084, 3083, 8001, 3116, 3143, 3748, 4637, 6667]",[1028],630,900,500,True,Greatly increases Health,<mainText><stats><attention>350</attention> Health</stats></mainText><br>
1018,Cloak of Agility,https://opgg-static.akamaized.net/meta/images/lol/item/1018.png,False,"[6676, 3086, 6672, 3095, 3031, 3033, 3036, 3072, 3087, 3139, 3508, 6673, 6675]",,420,600,600,True,Increases critical strike chance,<mainText><stats><attention>15%</attention> Critical Strike Chance</stats></mainText><br>
1026,Blasting Wand,https://opgg-static.akamaized.net/meta/images/lol/item/1026.png,False,"[3116, 3115, 6655, 3135, 3152, 4633, 4637, 6657]",,595,850,850,True,Moderately increases Ability Power,<mainText><stats><attention>40</attention> Ability Power</stats></mainText><br>
1027,Sapphire Crystal,https://opgg-static.akamaized.net/meta/images/lol/item/1027.png,False,"[3024, 3803, 3802]",,245,350,350,True,Increases Mana,<mainText><stats><attention>250</attention> Mana</stats></mainText><br>
1028,Ruby Crystal,https://opgg-static.akamaized.net/meta/images/lol/item/1028.png,False,"[6035, 6609, 1011, 3066, 3067, 3211, 6660, 3742, 4401, 3012, 3023, 3803, 3044, 3053, 3814, 3119, 6664, 6665, 3145, 3748, 3801, 4635]",,280,400,400,True,Increases Health,<mainText><stats><attention>150</attention> Health</stats></mainText><br>
1029,Cloth Armor,https://opgg-static.akamaized.net/meta/images/lol/item/1029.png,False,"[1031, 3082, 3076, 3193, 3191, 3047, 3024, 3105, 3023]",,210,300,300,True,Slightly increases Armor,<mainText><stats><attention>15</attention> Armor</stats></mainText><br>
1031,Chain Vest,https://opgg-static.akamaized.net/meta/images/lol/item/1031.png,False,"[3068, 3742, 3026, 6333, 6662]",[1029],560,800,500,True,Greatly increases Armor,<mainText><stats><attention>40</attention> Armor</stats></mainText><br>
1033,Null-Magic Mantle,https://opgg-static.akamaized.net/meta/images/lol/item/1033.png,False,"[3091, 1057, 3193, 3211, 3105, 3190, 3001, 3111, 3140, 3155, 4632]",,315,450,450,True,Slightly increases Magic Resist,<mainText><stats><attention>25</attention> Magic Resist</stats></mainText><br>
1035,Emberknife,https://opgg-static.akamaized.net/meta/images/lol/item/1035.png,False,,,140,350,350,False,,"<mainText><stats></stats><li><passive>Sear:</passive> Damaging Monsters burns them over time.<li><passive>Challenging Path:</passive> Smiting 5 times consumes this item upgrade your Smite to <attention>Challenging Smite</attention> and increases its damage to monsters. Challenging Smite marks champions. During this time, you deal bonus true damage to them on hit and take reduced damage from them.<li><passive>Huntsman:</passive> Killing Large Monsters grants bonus experience.<li><passive>Recoup:</passive> Regen mana when in the Jungle or River. <br><br><rules><status>Consuming</status> this item grants all item effects permanently and increases Smite damage to monsters. If you have gained more gold from minions than jungle monsters, gold and experience from minions is heavily reduced. Healing is not reduced on AoE attacks. If two levels behind the average champion level of the game, monster kills grant bonus experience. </rules><br><br><rules>Only attacks and abilities apply Challenging Smite's burn</rules></mainText><br>"
1036,Long Sword,https://opgg-static.akamaized.net/meta/images/lol/item/1036.png,False,"[3071, 1053, 3004, 2015, 3179, 3051, 3094, 3035, 3044, 3814, 3123, 3133, 3134, 3155, 3156, 6670, 6671]",,245,350,350,True,Slightly increases Attack Damage,<mainText><stats><attention>10</attention> Attack Damage</stats></mainText><br>
1037,Pickaxe,https://opgg-static.akamaized.net/meta/images/lol/item/1037.png,False,"[6035, 3077, 3124, 6676, 2019, 3031, 3053, 3139, 3153, 3156, 3161, 6029, 3181, 6333, 6673, 6695]",,613,875,875,True,Moderately increases Attack Damage,<mainText><stats><attention>25</attention> Attack Damage</stats></mainText><br>
1038,B. F. Sword,https://opgg-static.akamaized.net/meta/images/lol/item/1038.png,False,"[224403, 4403, 3026, 3031, 3072, 6671, 6675]",,910,1300,1300,True,Greatly increases Attack Damage,<mainText><stats><attention>40</attention> Attack Damage</stats></mainText><br>
1039,Hailblade,https://opgg-static.akamaized.net/meta/images/lol/item/1039.png,False,,,140,350,350,False,Provides damage against Monsters and Mana Regen in the Jungle,"<mainText><stats></stats><li><passive>Sear:</passive> Damaging Monsters burns them over time.<li><passive>Chilling Path:</passive> Smiting 5 times consumes this item upgrade your Smite to <attention>Chilling Smite</attention> and increases its damage to monsters. When smiting champions Chilling Smite deals true damage and steals their Move Speed.<li><passive>Huntsman:</passive> Killing Large Monsters grants bonus experience.<li><passive>Recoup:</passive> Regen mana when in the Jungle or River. <br><br><rules><status>Consuming</status> this item grants all item effects permanently and increases Smite damage to monsters. If you have gained more gold from minions than jungle monsters, gold and experience from minions is heavily reduced. Healing is not reduced on AoE attacks. If two levels behind the average champion level of the game, monster kills grant bonus experience. </rules><br><br></mainText><br>"
1040,Obsidian Edge,https://opgg-static.akamaized.net/meta/images/lol/item/1040.png,False,,,140,350,350,True,,"<mainText><stats></stats><li><passive>Sear:</passive> Damaging Monsters burns them over time.<li><passive>Auto Path:</passive> Smiting 5 times consumes this item upgrade your Attack-Smite, increasing its damage to monsters.<li><passive>Huntsman:</passive> Killing Large Monsters grants bonus experience.<li><passive>Recoup:</passive> Regen mana when in the Jungle or River. <br><br><rules><status>Consuming</status> this item grants all item effects permanently and increases Smite damage to monsters. If you have gained more gold from minions than jungle monsters, gold and experience from minions is heavily reduced. Healing is not reduced on AoE attacks. If two levels behind the average champion level of the game, monster kills grant bonus experience. </rules></mainText><br>"
1042,Dagger,https://opgg-static.akamaized.net/meta/images/lol/item/1042.png,False,"[1043, 6677, 3086, 3051, 3006, 6670]",,210,300,300,True,Slightly increases Attack Speed,<mainText><stats><attention>12%</attention> Attack Speed</stats></mainText><br>
1043,Recurve Bow,https://opgg-static.akamaized.net/meta/images/lol/item/1043.png,False,"[3091, 3085, 6672, 3115, 3153]",[1042],490,700,400,True,Greatly increases Attack Speed,<mainText><stats><attention>15%</attention> Attack Speed</stats><br><li><passive>Steeltipped:</passive> Attacks apply magic damage On-Hit.</mainText><br>
1052,Amplifying Tome,https://opgg-static.akamaized.net/meta/images/lol/item/1052.png,False,"[3124, 4629, 3191, 3116, 3108, 3113, 3145, 3152, 3165, 3802, 4632, 3916, 4630, 4635, 4636, 4637, 4642, 4644, 6656, 6657]",,305,435,435,True,Slightly increases Ability Power,<mainText><stats><attention>20</attention> Ability Power</stats></mainText><br>
1053,Vampiric Scepter,https://opgg-static.akamaized.net/meta/images/lol/item/1053.png,False,"[3074, 224403, 4403, 3072, 3153, 6673]",[1036],630,900,550,True,Basic attacks restore Health,<mainText><stats><attention>15</attention> Attack Damage<br><attention>7%</attention> Life Steal</stats></mainText><br>
1054,Doran's Shield,https://opgg-static.akamaized.net/meta/images/lol/item/1054.png,False,,,180,450,450,True,Good defensive starting item,"<mainText><stats><attention>80</attention> Health</stats><br><li><passive>Focus:</passive> Attacks deal additional damage to minions.<li><passive>Recovery:</passive> Restores Health over time.<li><passive>Endure:</passive> Restores Health after taking damage from a champion, large jungle monster, or epic jungle monster. Restoration increases when you are low Health.<br><br><rules><passive>Endure</passive> 66% effective when owned by Ranged champions or when taking damage from area of effect or periodic damage sources.</rules></mainText><br>"
1055,Doran's Blade,https://opgg-static.akamaized.net/meta/images/lol/item/1055.png,False,,,180,450,450,True,Good starting item for attackers,<mainText><stats><attention>8</attention> Attack Damage<br><attention>80</attention> Health</stats><br><li><passive>Warmonger:</passive> Gain Omnivamp.<br><br><rules>Omnivamp is only 33% effective when dealing area of effect damage or damage through pets.</rules></mainText><br>
1056,Doran's Ring,https://opgg-static.akamaized.net/meta/images/lol/item/1056.png,False,,,160,400,400,True,Good starting item for casters,"<mainText><stats><attention>15</attention> Ability Power<br><attention>70</attention> Health</stats><br><li><passive>Focus:</passive> Attacks deal additional damage to minions. <li><passive>Drain:</passive> Restore Mana every second. Damaging an enemy champion increases this amount. If you can't gain Mana, regenerate Health instead. </mainText><br>"
1057,Negatron Cloak,https://opgg-static.akamaized.net/meta/images/lol/item/1057.png,False,"[4401, 6664, 8020]",[1033],630,900,450,True,Moderately increases Magic Resist,<mainText><stats><attention>50</attention> Magic Resist</stats></mainText><br>
1058,Needlessly Large Rod,https://opgg-static.akamaized.net/meta/images/lol/item/1058.png,False,"[3089, 4645, 224403, 4403, 3003]",,875,1250,1250,True,Greatly increases Ability Power,<mainText><stats><attention>60</attention> Ability Power</stats></mainText><br>
1082,Dark Seal,https://opgg-static.akamaized.net/meta/images/lol/item/1082.png,False,[3041],,140,350,350,True,Provides Ability Power and Mana.  Increases in power as you kill enemies.,<mainText><stats><attention>15</attention> Ability Power<br><attention>40</attention> Health</stats><br><li><passive>Glory:</passive> Gain 2 stacks for a champion kill or 1 stack for an assist (up to 10 stacks total). Lose 5 stacks on death.<li><passive>Dread:</passive> Grants <scaleAP>4 Ability Power</scaleAP> per stack of <passive>Glory</passive>.<br><br><rules>Obtained <passive>Glory</passive> stacks are preserved between this item and <rarityLegendary>Mejai's Soulstealer</rarityLegendary>.</rules></mainText><br>
1083,Cull,https://opgg-static.akamaized.net/meta/images/lol/item/1083.png,False,,,180,450,450,True,Provides damage and Life Steal on hit - Killing minions grant bonus Gold,<mainText><stats><attention>7</attention> Attack Damage</stats><br><li>Attacks restore Health per hit.<li><passive>Reap:</passive> Killing a lane minion grants <goldGain>1</goldGain> additional gold. Killing 100 lane minions grants an additional <goldGain>350</goldGain> bonus gold immediately and disables <passive>Reap</passive>.<br></mainText><br>
